Name,Order from
L-Bracket Corner Brace Sets,https://www.amazon.com/Bracket-Brackets-Furniture-Cabinet-20mmx20mm/dp/B08ZD89JN8/ref=sr_1_10?crid=174EPN7WGVBWZ&dib=eyJ2IjoiMSJ9.QvJnOl_hy7a-AVxw5mxL-oC9rVGSiHck6TT9OVG_BimTRDnelFK6GJimUDoiGB4lesZAZFh44EMLwMUIthB39C6tKl5mkHijBg6OCA1GtYJG6u8vyAIIXqw6iKn3PhqN6i9b4Q6hEY25wvGcXcJFKRzqmEY9DPQDKaJKn349_7EahYPXU2Ip6u_sO2uHP8PnV85OhneN3_MAQcfpzculyVDP2e1nfZ_UdqLrAn2A5PQKT_TCvTHzVBqcihphJkqdC9Mh7-Xj1Oaj3pPQe8f6Kx0NTp2EiJdomNeQQBzylWSfMTFIOViGxZZ4DImuLC1btKq2d1V9ssw-7qbg0xkAzBM7dwf8ALelFMFGScujsLNHgqoa1jJxxj3y0pgZ1BACHt7jB9KP1uQCCjBttlcAAViAhyhvKph_cV_x89vlFsBG3yMZPS58HY_YeAFsuN-1.FlN86W-TX5lZ4YLWegMRsguvk5iDsh1VU-PbhwGk0Pg&dib_tag=se&keywords=LBracket%2BCorner%2BBrace&qid=1735062462&sprefix=lbracket%2Bcorner%2Bbrace%2Caps%2C477&sr=8-10&th=1
Door hinge,https://www.amazon.com/3-5-Stainless-Residential-Hardware-Non-Removable/dp/B0CLH1WBR3/ref=sr_1_4_sspa?crid=3PMN1TXFSUBRF&dib=eyJ2IjoiMSJ9.bfgLYbTw1AfumTlkKtTpRoSTk9r9cR8HVz3kcC8lPNTuJvzhhUPjvIAqH5W2f3E1OQ5IHQn5WpTCtwP7q2A00ihuj6Uw-Rnz0HX-C23fRy9koz5OoxwCTS8NmJJgZGhqoTi5ooKJXh_3OpfpPTcczgoZJRp57hWfWbJM-vb3L2_skdHLK7nnNG0Jm8vG3upSAd0TSkHIZj9BI6oDbfej74FbHa2TgRR-_vJkfhZc-Yza53dg7KiSY5_WC2N5n4y89oSvDogloAIL8fObX9aGJok3aCAU2gZWQ5i_hTkpKaM.9-runkroOa2MIjs39F0dDKl0BbwgRyxNIIkVL83ZuRg&dib_tag=se&keywords=steel%2Bdoor%2Bhinge&qid=1735077566&sprefix=steel%2Bdoor%2Bhinge%2Caps%2C454&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Extension spring,https://www.amazon.com/Extension-Different-Assortment-Stainless-Individual/dp/B0CFRF42LQ/ref=sr_1_9?crid=32QJ87DXB9ML5&dib=eyJ2IjoiMSJ9.cn_VggZZR7BK0Wj0Rr5F5i8ZGZ1z87upkK4J5aje19LPwh7sklwR2CL-khqOF8MWM7iKwAIP7RASgOQJLPw2GgponAFFvEl4WMWc614_lyFpk-LgBKmmw01HC6qNkaz0yz34PX4ElfXutO6W5KSn1Eqp6C6jYvXsJwpDsBrcZ2fIxztYZbsj87z6E2dakEEYT6b1kjJBhD7LTo0DPRgmfsewYXS3G9376Nrwzhbq0Fs.ozhhdM9APUgSx1W4wnZ1iEu0xd7_cAY7netO3aUM2AU&dib_tag=se&keywords=extension+spring&qid=1735077754&sprefix=extension+spri%2Caps%2C473&sr=8-9
Corner brackets 135 degree,https://www.amazon.com/Pastlla-Brackets-Aluminium-Fasteners-Connector/dp/B0CR6H7HHQ?ref_=ast_sto_dp&th=1
7” screen,https://www.amazon.com/HMTECH-Raspberry-Pi-Monitor-Non-Touch/dp/B09MFNLRQQ/ref=sr_1_11?adgrpid=1341404748143930&dib=eyJ2IjoiMSJ9.NwVrLcAK31oKp1_gEHkWmVDvTxNOTEed9V8FwC6QIo0Udy-L_cyaa3SfZ0NBIyk1laKRbGj9bxWQysfIY8R0hqV-eil4MHuThgudI8P5ph3gcGo-rQmzEDyu8H16PAh2CCWC6z_Lec26p1sxG3NlwUhJHUaGuGkuCa9p4a2TNxXiN94MOsn5hHSKnhV7wx36hWijONU9Nva94wha5o3sl19AIbCbRUqB9gOyCv-9gAg.azrE3Uuuxio1FrXbA-DfhICXk-oSxHwEy3E-XfMl4r8&dib_tag=se&hvadid=83838011859505&hvbmt=be&hvdev=c&hvlocphy=103559&hvnetw=o&hvqmt=e&hvtargid=kwd-83838133239760%3Aloc-190&hydadcr=18004_13443519&keywords=raspberry%2Bpi%2B7&msclkid=d29db9af1495157251c0de85339dc608&qid=1730815759&sr=8-11&th=1
Padlock,https://www.amazon.com/Padlock-Decorative-Jewelry-Suitcase-Furniture/dp/B0D9QK9B95/ref=sr_1_23?crid=1B56Y5PT2NJRL&dib=eyJ2IjoiMSJ9.daJ6bsjncyEFan0mxI9cur2HsuvaNd_T83KfAO8cYho28Z20vXG-_FxajjFpkM8gdFbHDTxw90l0Uat6UJJJhwNbZrTwnBH16APZ855-ddX7NATta6-0bhHHq1CyL4EppaiZTtHhzD7nNC1QIobGSTy06pdNYTV2le9YX9QB4ErBzAUkMFuKuuiNnwT3nm0HtPokdPEgaNIDS1w9KD_YUFTx8xIZ7pU_QRb_4tJ915jHOQWv8X6gB3csRSG5FGRGJiZ7vuOP8zl0UauImcTfV3XYztNTWFCknAT24xGhytm42PtxFqBxZIiryxUoMUhzlcVpTT3yyEewrpX0WMYwckUd8RGPBRw6vwEFAD7otgKZwt70mu7MePTIr_c-jxH92-95qqPADZoAi3T58-Icm1isb0O4lH_Qfw01wOhtDGi2M9iaRbwaOGZghsni2HEm.s2tMyO3ofzH0dfqzdoEhkANQwFHpfrGaD5HDVTYMzIc&dib_tag=se&keywords=tiny+safety+hasp+in+zinc+plated&qid=1735909315&sprefix=tiny+safety+hasp+in+zinc+plated%2Caps%2C560&sr=8-23
Arduino Mega 2560,https://www.amazon.com/s?k=arduino+mega+2560&adgrpid=1338106220812439&hvadid=83632025487612&hvbmt=be&hvdev=c&hvlocphy=103493&hvnetw=o&hvqmt=e&hvtargid=kwd-83631993120987%3Aloc-190&hydadcr=24658_13769732&mcid=0c73926fa0fd3803a9b2fa4a4dff01a9&msclkid=7dc09187b6ef1bb5e41bf62b5f284be4&tag=mh0b-20&ref=pd_sl_77nlft2dfb_e
Servo Motor ,https://www.amazon.com/Control-Angle180-Digital-Torque-Helicopter/dp/B07NQJ1VZ2/ref=sr_1_10?adgrpid=1330409641501472&dib=eyJ2IjoiMSJ9.Z8zXoZs9nMkNwqQN2AI2FlAutkCElGdoiAG-mrB75LzJoa1zNIJssM58wZohImVHVj8y574E1NarPAqDOKADAwEaeJ9_OyjkKGArCHkrQqwGOvhfluzqgy48Iv0Si5dQ4oEWLT-6OGdLihiztH74t-6JAgB5SpYJXxIKKkz3Pgnp2__s4ur1Fi1jvW1FIKYvbgGllgTl5JxVnkcDetOuqekRuGPDHfuyJqVhCYmgTIKizdpUs3z7cG2nPEzuREFuntaGpQgjKMtDHSRkfxYQzI-fStaFc0dAq6giEdUPNNVmTPqjXMxBah8xO7cHF6W146G91x9BLb9LkClgXxyqlmGSQt-8Ev7_8W6dmdn-FxZ11Ag9itFiifE0hQsd-EBW6HYycqUUQOSdNmehrj89dQABc8PGk0EnCoFI2-GH1XMk-iRCI97nucNd4hu1uJSt.fwsnqyv3zFJXP1sZowZ8CXFVBONJxaTzJ86q3-OZL7A&dib_tag=se&hvadid=83150989389867&hvbmt=be&hvdev=c&hvlocphy=103493&hvnetw=o&hvqmt=e&hvtargid=kwd-83150961413891%3Aloc-190&hydadcr=24662_13770076&keywords=arduino%2Bservo&mcid=57d7a7fc75d73a8fbb4f0d8de0875dcd&qid=1739385374&sr=8-10&th=1
3 mm infrared IR emitter,https://www.amazon.com/Infrared-Lighting-Electronics-Components-Emitting/dp/B01BVEKXNC/ref=sr_1_6?crid=3NVVX0EDW1FP5&dib=eyJ2IjoiMSJ9.w-EaBJqeHxItQ09v5SqSN-7S-j-JZTGvAkd77CV2baVXuqL0ZLHAr71dFDpHKnCEw5fpRG8xLWqyd7b_Qn904pUk6t9WtB1-dh85MuKYufZSf3Ku2F_urGS3aNGzCPSUkGGA2O2yIG6zph926M4FmPDyTnHFgqCOKcJZkaL7JnDTZnZxGrJ54Jj0bDzNflnCMUtUzEFYMXD4YwDYCzFLA-sEfky7fLigapI5QFq5y9c.2qw9-wsHwec96LozNAos623xhpZiqs8AWj3tkY6nRtc&dib_tag=se&keywords=3mm%2Bir%2Bled%2Bemitter%2Band%2Breceiver&qid=1739386078&sprefix=3mm%2Bir%2Bled%2B%2Caps%2C460&sr=8-6&th=1
3 mm infrared IR receiver,https://www.amazon.com/Receiver-Infrared-Lighting-Electronics-Components/dp/B01BVGIZFS/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.c5787da2-212d-48eb-a894-9ea5a87adeb3%3Aamzn1.sym.c5787da2-212d-48eb-a894-9ea5a87adeb3&crid=3NVVX0EDW1FP5&cv_ct_cx=3mm%2Bir%2Bled%2Bemitter%2Band%2Breceiver&keywords=3mm%2Bir%2Bled%2Bemitter%2Band%2Breceiver&pd_rd_i=B01BVGIZFS&pd_rd_r=eac875ac-c788-4c57-a672-fca012e93fc2&pd_rd_w=5WCxC&pd_rd_wg=oWaAQ&pf_rd_p=c5787da2-212d-48eb-a894-9ea5a87adeb3&pf_rd_r=KH34PXRH555CYKCDHJ4Z&qid=1739386078&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=3mm%2Bir%2Bled%2B%2Caps%2C460&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
0.125 inch metal bar,https://www.onlinemetals.com/en/buy/carbon-steel/0-125-carbon-steel-round-bar-1018-cold-finish/pid/4789
P-1,This repository
P-2,This repository
P-3,This repository
P-4,This repository
P-5,This repository
P-6,This repository
P-7,This repository
P-8,This repository
P-9,This repository
dual_door,This repository
gear,This repository
int_port,This repository
reward_port,This repository
